SMILES,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,QED
OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,1142.0,126,23.47,1.5462663910996906,15.410174419205754,6.410005257211886,2.9914488726431796,311.469,3.9624000000000033,1,2,5,4,0.8320193452810374
CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,926.0,122,43.07,2.0133815691934758,13.220144300303355,5.0704066487242425,2.036578034945077,308.77200000000005,3.5801200000000026,0,3,1,4,0.6893709827759431
C1[C@H]2CNC[C@@H]1C1=C2C=C2N=CC=NC2=C1,386.0,94,37.81,2.0137366648572996,8.646727966472758,3.013271818531334,1.0638377944237734,211.268,1.8038999999999998,1,3,0,4,0.721762960406491
CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(C=C12)C(C)=O,1154.0,120,23.55,1.9808087324038346,16.091008019015952,6.768441220317652,3.4327361220295463,326.46500000000015,4.4436000000000035,0,4,5,3,0.7577920516947434
COC1=CC2=C(C=C1OC)C(=O)C(CC1CCN(CC3=CC=CC=C3)CC1)C2,2333.0,148,38.77,1.3362548695620295,19.00679023622427,8.356363444273022,3.925173476821331,379.50000000000017,4.361100000000004,0,4,6,4,0.7474614915624848
CC1=NN=C2CN=C(C3=CC(Cl)=CC=C3N12)C1=C(Cl)C=CC=C1,1035.0,128,43.07,2.027496173750822,14.424029889645306,5.476836017977725,2.3467292305180467,343.21700000000004,4.233520000000003,0,3,1,4,0.6634881818264521
CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1,805.0,98,25.36,2.287167069228301,14.693972974229522,6.638286463373893,3.4364376203332885,270.37600000000003,2.923300000000001,0,3,6,2,0.8067475103694609
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,1893.0,136,32.78,1.7351879046800742,20.054815114205386,9.488968562668738,4.78052358067321,386.56100000000015,4.214800000000004,0,4,8,3,0.6810921785688574
CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=C(C=CC=C2)C1=O,1795.0,144,38.13,1.7878180711241383,18.205323124111292,7.829161513005722,3.919067594989891,381.9070000000001,4.297500000000004,0,3,3,4,0.678552511607709
CCCN1C[C@H](CSC)C[C@H]2[C@H]1CC1=CNC3=C1C2=CC=C3,945.0,122,19.03,1.7510761828559733,14.648970351845616,5.934405613799897,2.296634279562432,314.49800000000005,4.271100000000003,1,2,4,4,0.9085285470025661
CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,1082.0,126,30.869999999999997,1.8304332090303408,14.545837274701016,5.870760385193409,2.799077045717136,326.8310000000001,3.7227000000000023,1,4,0,4,0.8001222420891722
C[C@H]1CCC[C@@H](C)N1CCCC(O)(C1=CC=CC=C1)C1=CC=CC=N1,1514.0,128,36.36,1.7491415252527145,18.092224445542033,8.112562854303343,4.103321393608435,338.49500000000006,4.360600000000004,1,3,6,3,0.8499586361459243
C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,298.0,76,15.6,1.8656342600982674,8.356701561792665,3.314920846043748,1.3196029415112809,204.298,2.1460999999999997,0,3,1,3,0.6962524977611555
CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=C(Cl)C=CC=C1,921.0,124,43.07,2.0004285306477514,14.115210502489814,5.295675461218012,2.1361579790743708,393.6970000000001,4.4041200000000025,0,4,1,4,0.614634858815264
CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,1352.0,136,46.31,1.9354286583238673,15.994809688581315,6.4251555555555555,2.9661224489795917,351.8410000000001,3.3333000000000013,0,4,3,4,0.726750257931781
