Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
CHEMBL3656159,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2ccccc2C1,IC50,'=',160,nM,6.8
CHEMBL3656163,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCC(F)(F)CC1,IC50,'=',189,nM,6.72
CHEMBL3656135,COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(Cl)c3)cc1C21N=C(N)N(C)C1=O,IC50,'=',11.1,nM,7.96
CHEMBL3656184,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(C)C1=O,IC50,'=',2.1,nM,8.68
CHEMBL3899749,COC1CCC2(CC1)Cc1ccc(Br)cc1C21N=C(N)N(C)O1,IC50,'=',137,nM,6.86
CHEMBL254058,COc1ccc(-c2ccc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2CC(=O)NC(=N)N)cc1,IC50,'=',600,nM,6.22
CHEMBL252025,N=C(N)NC(=O)Cn1c(-c2ccc(F)cc2)ccc1-c1ccc(Oc2ccccc2)cc1,IC50,'=',1400,nM,5.85
CHEMBL2059330,CCc1cccc2ccn(CC(O)CSc3ccccc3Cl)c12,IC50,'=',7520,nM,5.12
CHEMBL2059594,COc1ccc(SCC(O)Cn2c3c(c4ccccc42)CCCC3)cc1,IC50,'=',15200,nM,4.82
CHEMBL217068,N=C(N)NC(=O)Cn1c(-c2ccccc2)ccc1-c1ccccc1,IC50,'=',3700,nM,5.43
CHEMBL393559,NC(N)=NC(=O)Cc1c(-c2ccccc2Cl)csc1-c1ccc(OCCc2cn[nH]c2)cc1,IC50,'=',6900,nM,5.16
CHEMBL1645521,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,IC50,'>',10000,nM,
CHEMBL1645523,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,IC50,'=',870,nM,6.06
